site_id,"Acidity, (H+)",Escherichia coli,"Temperature, water",Turbidity,Wave height,pH
USGS-04201500,-0.8905406781430362,0.0,0.2740256339817004,-0.12833754272181136,0.0,1.8464336017871619
USGS-04208000,-0.8689280764826595,0.0,-0.006694492425172058,1.7719885210676074,0.0,1.1598638759028526
USGS-04208503,-0.8673186274228442,0.0,0.4352500309045662,3.54720892837296,0.0,1.1598638759028526
USGS-412226081344500,-0.8905406781430362,0.0,0.6438933680988632,0.1766108350279548,0.0,2.0099025841405664
USGS-412735081375500,-0.6118760695007333,0.0,-0.10532588818974876,-0.2576650475024351,0.0,-0.017112797041677497
USGS-412737081380500,-0.7047642723815009,0.0,-0.5415801386869155,-0.5839230709262812,0.0,0.24443757472377375
USGS-412737081380501,-0.2403232579776627,0.0,-0.5795152909040602,-0.47810965792395277,0.0,-0.4094383546898538
USGS-412737081380600,0.3170059593069432,0.0,-0.5605477147954878,-0.6059675319684329,0.0,-0.670988726455305
USGS-412738081380100,0.45633826362809454,0.0,-0.6743531714469225,-0.6147853163852937,0.0,-0.8017639123380301
USGS-412738081381400,-0.8440965767026524,0.0,-0.18119619262403866,-0.3678873527131939,0.0,0.8983135041374013
USGS-412740081381100,-0.008102750775743505,0.0,-0.4657098342526255,-0.6368297774274455,0.0,-0.5402135405725789
USGS-412740081381200,0.9672233794723166,0.0,-0.6743531714469225,-0.5442430410504081,0.0,-0.9325390982207551
USGS-412742081380500,0.13122955354540794,0.0,-0.6933207475554952,-0.3370251072541814,0.0,-0.670988726455305
USGS-412742081380600,-0.10099095365651115,0.0,-0.7502234758812124,-0.2664828319192958,0.0,-0.4094383546898538
USGS-412742081380700,-0.008102750775743505,0.0,-0.3708719537097632,-0.6191942085937241,0.0,-0.5402135405725789
USGS-412743081381401,0.17767365498579177,0.0,-0.08635831208117636,-0.5089719033829652,0.0,-0.670988726455305
USGS-412745081380000,1.7103290025184577,0.0,-0.6553855953383501,-0.3502517838794725,0.0,-1.1940894699862064
USGS-412746081380100,0.7350028722703977,0.0,-1.0347371175097992,-0.6191942085937241,0.0,-0.8017639123380301
USGS-412750081382200,3.0572079442895883,0.0,-0.35190437760119087,-0.6368297774274455,0.0,-1.3248646558689325
USGS-412922081442303,-0.7663027067900094,-1.3511063756937616,1.5772535845759446,1.337189156121294,-0.7741186698604006,0.8448145644581043
USGS-412928081560220,0.0,-0.16321707863428514,3.2311566865461785,0.18111051990954063,1.1290534142395796,0.0
USGS-412929081561100,0.0,0.782499294507257,0.0,0.6614914360922753,0.0,0.0
USGS-413510081340100,-0.7501232312648665,0.7318241598207885,1.5704981703416252,-0.11990123692156658,-0.3549347443791773,0.8207742346317154
