site_id,site_name,state,latitude,longitude,sample_date,characteristic,result_value,unit
USGS-04208000,,,,,2018-04-03,Specific conductance,692.0,uS/cm @25C
USGS-04208000,,,,,2018-04-03,"Acidity, (H+)",1e-05,mg/l
USGS-04208000,,,,,2018-04-03,Oxygen,11.5,mg/l
USGS-04208000,,,,,2018-04-03,Oxygen,98.0,% saturatn
USGS-04208000,,,,,2018-04-03,pH,7.9,std units
USGS-04208000,,,,,2018-04-03,Organic Nitrogen,0.54,mg/l
USGS-04208000,,,,,2018-04-03,Ammonia and ammonium,0.03,mg/l as N
USGS-04208000,,,,,2018-04-03,Nitrite,0.01,mg/l as N
USGS-04208000,,,,,2018-04-03,Nitrate,0.847,mg/l as N
USGS-04208000,,,,,2018-04-03,Inorganic nitrogen (nitrate and nitrite),0.857,mg/l as N
USGS-04208000,,,,,2018-04-03,Orthophosphate,0.053,mg/l asPO4
USGS-04208000,,,,,2018-04-03,Phosphorus,0.248,mg/l as P
USGS-04208000,,,,,2018-04-03,Orthophosphate,0.017,mg/l as P
USGS-04208000,,,,,2018-04-03,Chloride,130.0,mg/l
USGS-04208000,,,,,2018-04-03,"Height, gage",1.97,m
USGS-04208000,,,,,2018-04-03,"Stream flow, instantaneous",65.0,m3/sec
USGS-04208000,,,,,2018-04-03,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",1.43,mg/l
USGS-04208000,,,,,2018-04-03,Turbidity,37.0,FNU
USGS-04208000,,,,,2018-04-03,Ammonia and ammonium,0.042,mg/l NH4
USGS-04208000,,,,,2018-04-03,Nitrate,3.75,mg/l asNO3
USGS-04208000,,,,,2018-04-03,Nitrite,0.032,mg/l asNO2
USGS-04208000,,,,,2018-04-03,Suspended Sediment Concentration (SSC),717.0,mg/l
USGS-04208000,,,,,2018-04-03,Suspended Sediment Discharge,4470.0,tons/day
USGS-412922081442303,,,,,2018-06-27,"Temperature, water",22.8,deg C
USGS-412922081442303,,,,,2018-06-27,Escherichia coli,12.0,MPN/100 ml
USGS-412922081442303,,,,,2018-06-27,Turbidity,8.4,NTRU
USGS-412922081442303,,,,,2018-06-27,Wave height,0.3,ft
USGS-412928081560220,,,,,2018-08-01,"Temperature, water",22.0,deg C
USGS-412928081560220,,,,,2018-08-01,Escherichia coli,44.0,MPN/100 ml
USGS-412928081560220,,,,,2018-08-01,Turbidity,4.1,NTRU
USGS-412928081560220,,,,,2018-08-01,Wave height,0.5,ft
USGS-413510081340100,,,,,2018-07-18,"Temperature, water",23.7,deg C
USGS-413510081340100,,,,,2018-07-18,Escherichia coli,240.0,MPN/100 ml
USGS-413510081340100,,,,,2018-07-18,Turbidity,16.0,NTRU
USGS-413510081340100,,,,,2018-07-18,Wave height,1.0,ft
USGS-413510081340100,,,,,2018-09-11,"Temperature, water",20.9,deg C
USGS-413510081340100,,,,,2018-09-11,Escherichia coli,48.0,MPN/100 ml
USGS-413510081340100,,,,,2018-09-11,Turbidity,12.0,NTRU
USGS-413510081340100,,,,,2018-09-11,Wave height,0.9,ft
USGS-413510081340100,,,,,2018-08-23,Escherichia coli,80.0,MPN/100 ml
USGS-413510081340100,,,,,2018-08-23,Turbidity,21.0,NTRU
USGS-413510081340100,,,,,2018-08-23,Wave height,3.0,ft
USGS-412922081442303,,,,,2018-09-01,"Temperature, water",23.4,deg C
USGS-412922081442303,,,,,2018-09-01,Escherichia coli,100.0,MPN/100 ml
USGS-412922081442303,,,,,2018-09-01,Turbidity,4.2,NTRU
USGS-412922081442303,,,,,2018-09-01,Wave height,0.1,ft
USGS-413510081340100,,,,,2018-05-25,Escherichia coli,21.0,MPN/100 ml
USGS-413510081340100,,,,,2018-05-25,Turbidity,4.6,NTRU
USGS-413510081340100,,,,,2018-05-25,Wave height,0.0,ft
USGS-412922081442303,,,,,2018-05-29,"Temperature, water",23.7,deg C
USGS-412922081442303,,,,,2018-05-29,Escherichia coli,33.0,MPN/100 ml
USGS-412922081442303,,,,,2018-05-29,Turbidity,5.8,NTRU
USGS-412922081442303,,,,,2018-05-29,Wave height,0.0,ft
USGS-412928081560220,,,,,2018-07-30,"Temperature, water",20.3,deg C
USGS-412928081560220,,,,,2018-07-30,Escherichia coli,8.0,MPN/100 ml
USGS-412928081560220,,,,,2018-07-30,Turbidity,2.3,NTRU
USGS-412928081560220,,,,,2018-07-30,Wave height,0.0,ft
USGS-413510081340100,,,,,2018-08-02,Escherichia coli,84.0,MPN/100 ml
USGS-413510081340100,,,,,2018-08-02,Turbidity,3.3,NTRU
USGS-413510081340100,,,,,2018-08-02,Wave height,0.4,ft
USGS-413510081340100,,,,,2018-06-24,Escherichia coli,130.0,MPN/100 ml
USGS-413510081340100,,,,,2018-06-24,Turbidity,3.6,NTRU
USGS-413510081340100,,,,,2018-06-24,Wave height,0.4,ft
USGS-412928081560220,,,,,2018-07-11,"Temperature, water",20.4,deg C
USGS-412928081560220,,,,,2018-07-11,Escherichia coli,110.0,MPN/100 ml
USGS-412928081560220,,,,,2018-07-11,Turbidity,59.0,NTRU
USGS-412928081560220,,,,,2018-07-11,Wave height,1.7,ft
USGS-413510081340100,,,,,2018-07-03,"Temperature, water",26.3,deg C
USGS-413510081340100,,,,,2018-07-03,Escherichia coli,6.0,MPN/100 ml
USGS-413510081340100,,,,,2018-07-03,Turbidity,2.1,NTRU
USGS-413510081340100,,,,,2018-07-03,Wave height,0.1,ft
USGS-412928081560220,,,,,2018-06-21,"Temperature, water",20.2,deg C
USGS-412928081560220,,,,,2018-06-21,Escherichia coli,460.0,MPN/100 ml
USGS-412928081560220,,,,,2018-06-21,Turbidity,26.0,NTRU
USGS-412928081560220,,,,,2018-06-21,Wave height,0.5,ft
USGS-412922081442303,,,,,2018-08-30,"Temperature, water",24.8,deg C
USGS-412922081442303,,,,,2018-08-30,Escherichia coli,100.0,MPN/100 ml
