site_id,site_name,state,latitude,longitude,sample_date,characteristic,result_value,unit
USGS-412928081560220,,,,,2015-07-19,"Temperature, water",74.3,deg F
USGS-412928081560220,,,,,2015-07-19,Escherichia coli,6.0,MPN/100 ml
USGS-412928081560220,,,,,2015-07-19,Turbidity,4.5,NTRU
USGS-412928081560220,,,,,2015-07-19,Wave height,0.1,ft
USGS-412929081561100,,,,,2015-07-09,Escherichia coli,98.0,MPN/100 ml
USGS-412929081561100,,,,,2015-07-09,Turbidity,19.0,NTRU
USGS-412929081561100,,,,,2015-07-30,Escherichia coli,280.0,MPN/100 ml
USGS-412929081561100,,,,,2015-07-30,Turbidity,17.0,NTRU
USGS-412922081442303,,,,,2015-06-20,"Temperature, water",20.8,deg C
USGS-412922081442303,,,,,2015-06-20,"Acidity, (H+)",1e-05,mg/l
USGS-412922081442303,,,,,2015-06-20,pH,7.9,std units
USGS-412922081442303,,,,,2015-06-20,Escherichia coli,20.0,MPN/100 ml
USGS-412922081442303,,,,,2015-06-20,Turbidity,9.2,NTRU
USGS-412922081442303,,,,,2015-06-20,Wave height,0.0,ft
USGS-412922081442303,,,,,2015-07-10,"Temperature, water",21.0,deg C
USGS-412922081442303,,,,,2015-07-10,"Acidity, (H+)",1e-05,mg/l
USGS-412922081442303,,,,,2015-07-10,pH,7.9,std units
USGS-412922081442303,,,,,2015-07-10,Escherichia coli,330.0,MPN/100 ml
USGS-412922081442303,,,,,2015-07-10,Turbidity,13.0,NTRU
USGS-412922081442303,,,,,2015-07-10,Wave height,0.4,ft
USGS-413510081340100,,,,,2015-06-04,"Temperature, air",18.4,deg C
USGS-413510081340100,,,,,2015-06-04,"Acidity, (H+)",1e-05,mg/l
USGS-413510081340100,,,,,2015-06-04,pH,8.1,std units
USGS-413510081340100,,,,,2015-06-04,Escherichia coli,28.0,MPN/100 ml
USGS-413510081340100,,,,,2015-06-04,Turbidity,6.9,NTRU
USGS-413510081340100,,,,,2015-06-04,Wave height,0.0,ft
USGS-412928081560220,,,,,2015-06-06,"Temperature, water",65.8,deg F
USGS-412928081560220,,,,,2015-06-06,Escherichia coli,75.0,MPN/100 ml
USGS-412928081560220,,,,,2015-06-06,Turbidity,38.0,NTRU
USGS-412928081560220,,,,,2015-06-06,Wave height,1.3,ft
USGS-412929081561100,,,,,2015-07-11,Escherichia coli,56.0,MPN/100 ml
USGS-412929081561100,,,,,2015-07-11,Turbidity,8.3,NTRU
USGS-412929081561100,,,,,2015-07-12,Escherichia coli,15.0,MPN/100 ml
USGS-412929081561100,,,,,2015-07-12,Turbidity,5.0,NTRU
USGS-413510081340100,,,,,2015-05-27,Wave height,0.3,ft
USGS-413510081340100,,,,,2015-05-27,"Temperature, air",21.1,deg C
USGS-413510081340100,,,,,2015-05-27,"Acidity, (H+)",0.00017,mg/l
USGS-413510081340100,,,,,2015-05-27,pH,6.8,std units
USGS-413510081340100,,,,,2015-05-27,Escherichia coli,62.0,MPN/100 ml
USGS-413510081340100,,,,,2015-05-27,Turbidity,2.6,NTRU
USGS-412928081560220,,,,,2015-07-23,"Temperature, water",74.8,deg F
USGS-412928081560220,,,,,2015-07-23,Escherichia coli,12.0,MPN/100 ml
USGS-412928081560220,,,,,2015-07-23,Turbidity,6.2,NTRU
USGS-412928081560220,,,,,2015-07-23,Wave height,0.0,ft
USGS-412922081442303,,,,,2015-06-15,Escherichia coli,240.0,MPN/100 ml
USGS-412922081442303,,,,,2015-06-15,Turbidity,7.1,NTRU
USGS-412922081442303,,,,,2015-06-15,Wave height,0.4,ft
USGS-412922081442303,,,,,2015-06-15,"Temperature, water",20.2,deg C
USGS-412922081442303,,,,,2015-06-15,"Acidity, (H+)",1e-05,mg/l
USGS-412922081442303,,,,,2015-06-15,pH,8.1,std units
USGS-412929081561100,,,,,2015-08-22,Escherichia coli,4.0,MPN/100 ml
USGS-412929081561100,,,,,2015-08-22,Turbidity,4.0,NTRU
USGS-413510081340100,,,,,2015-08-02,"Temperature, air",20.5,deg C
USGS-413510081340100,,,,,2015-08-02,"Acidity, (H+)",2e-05,mg/l
USGS-413510081340100,,,,,2015-08-02,pH,7.7,std units
USGS-413510081340100,,,,,2015-08-02,Escherichia coli,75.0,MPN/100 ml
USGS-413510081340100,,,,,2015-08-02,Turbidity,17.0,NTRU
USGS-413510081340100,,,,,2015-08-02,Wave height,1.2,ft
USGS-413510081340100,,,,,2015-08-22,"Acidity, (H+)",1e-05,mg/l
USGS-413510081340100,,,,,2015-08-22,pH,8.1,std units
USGS-413510081340100,,,,,2015-08-22,"Temperature, air",17.3,deg C
USGS-413510081340100,,,,,2015-08-22,Escherichia coli,14.0,MPN/100 ml
USGS-413510081340100,,,,,2015-08-22,Turbidity,3.8,NTRU
USGS-413510081340100,,,,,2015-08-22,Wave height,0.1,ft
USGS-413510081340100,,,,,2015-06-11,"Temperature, air",17.5,deg C
USGS-413510081340100,,,,,2015-06-11,"Acidity, (H+)",1e-05,mg/l
USGS-413510081340100,,,,,2015-06-11,pH,8.1,std units
USGS-413510081340100,,,,,2015-06-11,Escherichia coli,240.0,MPN/100 ml
USGS-413510081340100,,,,,2015-06-11,Turbidity,3.2,NTRU
USGS-413510081340100,,,,,2015-06-11,Wave height,0.3,ft
USGS-413510081340100,,,,,2015-06-07,"Temperature, air",18.6,deg C
USGS-413510081340100,,,,,2015-06-07,"Acidity, (H+)",0.00025,mg/l
USGS-413510081340100,,,,,2015-06-07,pH,6.6,std units
USGS-413510081340100,,,,,2015-06-07,Escherichia coli,90.0,MPN/100 ml
USGS-413510081340100,,,,,2015-06-07,Turbidity,5.6,NTRU
USGS-413510081340100,,,,,2015-06-07,Wave height,0.1,ft
USGS-412922081442303,,,,,2015-07-18,"Temperature, water",22.7,deg C
USGS-412922081442303,,,,,2015-07-18,"Acidity, (H+)",1e-05,mg/l
USGS-412922081442303,,,,,2015-07-18,pH,7.9,std units
USGS-412922081442303,,,,,2015-07-18,Escherichia coli,2100.0,MPN/100 ml
USGS-412922081442303,,,,,2015-07-18,Turbidity,11.0,NTRU
USGS-412922081442303,,,,,2015-07-18,Wave height,0.9,ft
USGS-04208000,,,,,2015-12-02,Stream width measure,112.0,ft
USGS-04208000,,,,,2015-12-02,"Temperature, water",8.0,deg C
USGS-04208000,,,,,2015-12-02,"Temperature, air",8.5,deg C
USGS-04208000,,,,,2015-12-02,Barometric pressure,740.0,mm/Hg
USGS-04208000,,,,,2015-12-02,"Stream flow, instantaneous",569.0,ft3/s
USGS-04208000,,,,,2015-12-02,Number of sampling points,9.0,count
USGS-04208000,,,,,2015-12-02,"Height, gage",3.56,ft
USGS-04208000,,,,,2015-12-02,Specific conductance,956.0,uS/cm @25C
USGS-04208000,,,,,2015-12-02,"Acidity, (H+)",1e-05,mg/l
USGS-04208000,,,,,2015-12-02,Oxygen,11.1,mg/l
USGS-04208000,,,,,2015-12-02,Oxygen,96.0,% saturatn
USGS-04208000,,,,,2015-12-02,pH,8.2,std units
USGS-04208000,,,,,2015-12-02,Organic Nitrogen,0.48,mg/l
USGS-04208000,,,,,2015-12-02,Ammonia and ammonium,0.04,mg/l as N
USGS-04208000,,,,,2015-12-02,Nitrite,0.024,mg/l as N
USGS-04208000,,,,,2015-12-02,Nitrate,3.73,mg/l as N
USGS-04208000,,,,,2015-12-02,Inorganic nitrogen (nitrate and nitrite),3.75,mg/l as N
USGS-04208000,,,,,2015-12-02,Orthophosphate,0.136,mg/l asPO4
USGS-04208000,,,,,2015-12-02,Phosphorus,0.101,mg/l as P
USGS-04208000,,,,,2015-12-02,Orthophosphate,0.044,mg/l as P
USGS-04208000,,,,,2015-12-02,Chloride,158.0,mg/l
USGS-04208000,,,,,2015-12-02,"Height, gage",1.09,m
USGS-04208000,,,,,2015-12-02,"Stream flow, instantaneous",16.0,m3/sec
USGS-04208000,,,,,2015-12-02,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",4.28,mg/l
USGS-04208000,,,,,2015-12-02,Turbidity,5.2,FNU
USGS-04208000,,,,,2015-12-02,Ammonia and ammonium,0.055,mg/l NH4
USGS-04208000,,,,,2015-12-02,Nitrate,16.5,mg/l asNO3
USGS-04208000,,,,,2015-12-02,Nitrite,0.08,mg/l asNO2
USGS-04208000,,,,,2015-12-02,Suspended Sediment Concentration (SSC),10.0,mg/l
USGS-04208000,,,,,2015-12-02,Suspended Sediment Discharge,15.0,tons/day
USGS-412922081442303,,,,,2015-08-26,"Temperature, water",21.4,deg C
USGS-412922081442303,,,,,2015-08-26,"Acidity, (H+)",3e-05,mg/l
USGS-412922081442303,,,,,2015-08-26,pH,7.5,std units
USGS-412922081442303,,,,,2015-08-26,Escherichia coli,43.0,MPN/100 ml
USGS-412922081442303,,,,,2015-08-26,Turbidity,16.0,NTRU
USGS-412922081442303,,,,,2015-08-26,Wave height,1.1,ft
USGS-04208000,,,,,2015-10-01,Stream width measure,100.0,ft
USGS-04208000,,,,,2015-10-01,"Temperature, water",17.8,deg C
USGS-04208000,,,,,2015-10-01,"Temperature, air",13.7,deg C
USGS-04208000,,,,,2015-10-01,Barometric pressure,750.0,mm/Hg
USGS-04208000,,,,,2015-10-01,"Stream flow, instantaneous",309.0,ft3/s
USGS-04208000,,,,,2015-10-01,Number of sampling points,10.0,count
USGS-04208000,,,,,2015-10-01,"Height, gage",2.99,ft
USGS-04208000,,,,,2015-10-01,Specific conductance,606.0,uS/cm @25C
USGS-04208000,,,,,2015-10-01,"Acidity, (H+)",1e-05,mg/l
USGS-04208000,,,,,2015-10-01,Oxygen,10.9,mg/l
USGS-04208000,,,,,2015-10-01,Oxygen,117.0,% saturatn
USGS-04208000,,,,,2015-10-01,pH,8.3,std units
USGS-04208000,,,,,2015-10-01,Organic Nitrogen,0.55,mg/l
USGS-04208000,,,,,2015-10-01,Ammonia and ammonium,0.03,mg/l as N
USGS-04208000,,,,,2015-10-01,Nitrite,0.022,mg/l as N
USGS-04208000,,,,,2015-10-01,Nitrate,2.68,mg/l as N
USGS-04208000,,,,,2015-10-01,Inorganic nitrogen (nitrate and nitrite),2.7,mg/l as N
USGS-04208000,,,,,2015-10-01,Orthophosphate,0.18,mg/l asPO4
USGS-04208000,,,,,2015-10-01,Phosphorus,0.09,mg/l as P
USGS-04208000,,,,,2015-10-01,Orthophosphate,0.059,mg/l as P
USGS-04208000,,,,,2015-10-01,Chloride,152.0,mg/l
USGS-04208000,,,,,2015-10-01,"Height, gage",0.91,m
USGS-04208000,,,,,2015-10-01,"Stream flow, instantaneous",8.8,m3/sec
USGS-04208000,,,,,2015-10-01,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",3.28,mg/l
USGS-04208000,,,,,2015-10-01,Turbidity,4.8,FNU
USGS-04208000,,,,,2015-10-01,Ammonia and ammonium,0.04,mg/l NH4
USGS-04208000,,,,,2015-10-01,Nitrate,11.9,mg/l asNO3
USGS-04208000,,,,,2015-10-01,Nitrite,0.071,mg/l asNO2
USGS-04208000,,,,,2015-10-01,Suspended Sediment Concentration (SSC),9.0,mg/l
USGS-04208000,,,,,2015-10-01,Suspended Sediment Discharge,7.5,tons/day
USGS-412922081442303,,,,,2015-07-23,"Temperature, water",23.4,deg C
USGS-412922081442303,,,,,2015-07-23,"Acidity, (H+)",1e-05,mg/l
USGS-412922081442303,,,,,2015-07-23,pH,7.9,std units
USGS-412922081442303,,,,,2015-07-23,Escherichia coli,44.0,MPN/100 ml
USGS-412922081442303,,,,,2015-07-23,Turbidity,4.8,NTRU
USGS-412922081442303,,,,,2015-07-23,Wave height,0.1,ft
USGS-413510081340100,,,,,2015-05-12,"Temperature, air",14.5,deg C
USGS-413510081340100,,,,,2015-05-12,"Acidity, (H+)",1e-05,mg/l
USGS-413510081340100,,,,,2015-05-12,pH,8.2,std units
USGS-413510081340100,,,,,2015-05-12,Escherichia coli,3700.0,MPN/100 ml
USGS-413510081340100,,,,,2015-05-12,Turbidity,26.0,NTRU
USGS-413510081340100,,,,,2015-05-12,Wave height,1.3,ft
USGS-413510081340100,,,,,2015-08-17,"Temperature, air",23.1,deg C
USGS-413510081340100,,,,,2015-08-17,"Acidity, (H+)",1e-05,mg/l
USGS-413510081340100,,,,,2015-08-17,pH,8.2,std units
USGS-413510081340100,,,,,2015-08-17,Escherichia coli,38.0,MPN/100 ml
USGS-413510081340100,,,,,2015-08-17,Turbidity,2.9,NTRU
USGS-413510081340100,,,,,2015-08-17,Wave height,0.4,ft
USGS-412929081561100,,,,,2015-06-16,Escherichia coli,260.0,MPN/100 ml
USGS-412929081561100,,,,,2015-06-16,Turbidity,9.4,NTRU
USGS-412929081561100,,,,,2015-06-27,Escherichia coli,15000.0,MPN/100 ml
USGS-412929081561100,,,,,2015-06-27,Turbidity,270.0,NTRU
USGS-412929081561100,,,,,2015-06-26,Turbidity,3.8,NTRU
USGS-412929081561100,,,,,2015-06-26,Escherichia coli,160.0,MPN/100 ml
USGS-412928081560220,,,,,2015-06-26,"Temperature, water",71.6,deg F
USGS-412928081560220,,,,,2015-06-26,Escherichia coli,58.0,MPN/100 ml
USGS-412928081560220,,,,,2015-06-26,Turbidity,5.9,NTRU
USGS-412928081560220,,,,,2015-06-26,Wave height,0.2,ft
USGS-412928081560220,,,,,2015-06-30,"Temperature, water",68.7,deg F
USGS-412928081560220,,,,,2015-06-30,Escherichia coli,300.0,MPN/100 ml
USGS-412928081560220,,,,,2015-06-30,Turbidity,22.0,NTRU
USGS-412928081560220,,,,,2015-06-30,Wave height,0.3,ft
USGS-413510081340100,,,,,2015-05-18,"Temperature, air",23.3,deg C
USGS-413510081340100,,,,,2015-05-18,"Acidity, (H+)",1e-05,mg/l
USGS-413510081340100,,,,,2015-05-18,pH,8.2,std units
USGS-413510081340100,,,,,2015-05-18,Escherichia coli,360.0,MPN/100 ml
USGS-413510081340100,,,,,2015-05-18,Turbidity,2.6,NTRU
USGS-413510081340100,,,,,2015-05-18,Wave height,0.5,ft
USGS-412928081560220,,,,,2015-08-26,"Temperature, water",71.4,deg F
USGS-412928081560220,,,,,2015-08-26,Escherichia coli,16.0,MPN/100 ml
USGS-412928081560220,,,,,2015-08-26,Turbidity,12.0,NTRU
USGS-412928081560220,,,,,2015-08-26,Wave height,1.5,ft
USGS-412922081442303,,,,,2015-05-24,"Temperature, water",15.8,deg C
USGS-412922081442303,,,,,2015-05-24,"Acidity, (H+)",8e-05,mg/l
USGS-412922081442303,,,,,2015-05-24,pH,7.1,std units
USGS-412922081442303,,,,,2015-05-24,Escherichia coli,9.0,MPN/100 ml
USGS-412922081442303,,,,,2015-05-24,Turbidity,3.0,NTRU
USGS-412922081442303,,,,,2015-05-24,Wave height,0.1,ft
USGS-412929081561100,,,,,2015-05-20,Escherichia coli,360.0,MPN/100 ml
USGS-412929081561100,,,,,2015-05-20,Turbidity,43.0,NTRU
USGS-412922081442303,,,,,2015-07-26,"Temperature, water",24.5,deg C
USGS-412922081442303,,,,,2015-07-26,"Acidity, (H+)",0.00016,mg/l
USGS-412922081442303,,,,,2015-07-26,pH,6.8,std units
USGS-412922081442303,,,,,2015-07-26,Escherichia coli,150.0,MPN/100 ml
USGS-412922081442303,,,,,2015-07-26,Turbidity,2.5,NTRU
USGS-412922081442303,,,,,2015-07-26,Wave height,0.4,ft
USGS-413510081340100,,,,,2015-05-31,"Temperature, air",16.2,deg C
USGS-413510081340100,,,,,2015-05-31,"Acidity, (H+)",1e-05,mg/l
USGS-413510081340100,,,,,2015-05-31,pH,8.1,std units
USGS-413510081340100,,,,,2015-05-31,Escherichia coli,7900.0,MPN/100 ml
USGS-413510081340100,,,,,2015-05-31,Turbidity,70.0,NTRU
USGS-413510081340100,,,,,2015-05-31,Wave height,1.8,ft
USGS-412922081442303,,,,,2015-08-16,"Temperature, water",24.7,deg C
USGS-412922081442303,,,,,2015-08-16,"Acidity, (H+)",1e-05,mg/l
USGS-412922081442303,,,,,2015-08-16,pH,8.2,std units
USGS-412922081442303,,,,,2015-08-16,Escherichia coli,16.0,MPN/100 ml
USGS-412922081442303,,,,,2015-08-16,Turbidity,4.7,NTRU
USGS-412922081442303,,,,,2015-08-16,Wave height,0.1,ft
USGS-412928081560220,,,,,2015-06-27,"Temperature, water",68.7,deg F
USGS-412928081560220,,,,,2015-06-27,Escherichia coli,17000.0,MPN/100 ml
USGS-412928081560220,,,,,2015-06-27,Turbidity,320.0,NTRU
USGS-412928081560220,,,,,2015-06-27,Wave height,4.0,ft
USGS-413510081340100,,,,,2015-05-28,Turbidity,2.1,NTRU
USGS-413510081340100,,,,,2015-05-28,"Temperature, air",16.4,deg C
USGS-413510081340100,,,,,2015-05-28,"Acidity, (H+)",0.00022,mg/l
USGS-413510081340100,,,,,2015-05-28,pH,6.7,std units
USGS-413510081340100,,,,,2015-05-28,Escherichia coli,48.0,MPN/100 ml
USGS-413510081340100,,,,,2015-05-28,Wave height,0.3,ft
USGS-412928081560220,,,,,2015-05-26,"Temperature, water",57.5,deg F
USGS-412928081560220,,,,,2015-05-26,Escherichia coli,2.0,MPN/100 ml
USGS-412928081560220,,,,,2015-05-26,Turbidity,2.7,NTRU
USGS-412928081560220,,,,,2015-05-26,Wave height,0.1,ft
USGS-412929081561100,,,,,2015-09-02,Escherichia coli,40.0,MPN/100 ml
USGS-412929081561100,,,,,2015-09-02,Turbidity,3.9,NTRU
USGS-412928081560220,,,,,2015-06-25,"Temperature, water",73.4,deg F
USGS-412928081560220,,,,,2015-06-25,Escherichia coli,150.0,MPN/100 ml
USGS-412928081560220,,,,,2015-06-25,Turbidity,6.3,NTRU
USGS-412928081560220,,,,,2015-06-25,Wave height,0.0,ft
USGS-413510081340100,,,,,2015-06-26,"Acidity, (H+)",1e-05,mg/l
USGS-413510081340100,,,,,2015-06-26,pH,7.8,std units
USGS-413510081340100,,,,,2015-06-26,"Temperature, air",19.8,deg C
USGS-413510081340100,,,,,2015-06-26,Escherichia coli,36.0,MPN/100 ml
USGS-413510081340100,,,,,2015-06-26,Turbidity,2.1,NTRU
USGS-413510081340100,,,,,2015-06-26,Wave height,0.1,ft
USGS-412929081561100,,,,,2015-07-28,Escherichia coli,31.0,MPN/100 ml
USGS-412929081561100,,,,,2015-07-28,Turbidity,6.6,NTRU
USGS-412929081561100,,,,,2015-08-08,Escherichia coli,36.0,MPN/100 ml
USGS-412929081561100,,,,,2015-08-08,Turbidity,21.0,NTRU
USGS-412922081442303,,,,,2015-06-09,pH,8.1,std units
USGS-412922081442303,,,,,2015-06-09,"Temperature, water",16.8,deg C
USGS-412922081442303,,,,,2015-06-09,"Acidity, (H+)",1e-05,mg/l
USGS-412922081442303,,,,,2015-06-09,Escherichia coli,58.0,MPN/100 ml
USGS-412922081442303,,,,,2015-06-09,Turbidity,15.0,NTRU
USGS-412922081442303,,,,,2015-06-09,Wave height,2.0,ft
USGS-412928081560220,,,,,2015-09-07,"Temperature, water",77.7,deg F
USGS-412928081560220,,,,,2015-09-07,Escherichia coli,20.0,MPN/100 ml
USGS-412928081560220,,,,,2015-09-07,Turbidity,5.6,NTRU
USGS-412928081560220,,,,,2015-09-07,Wave height,0.1,ft
USGS-413510081340100,,,,,2015-08-14,"Temperature, air",22.6,deg C
USGS-413510081340100,,,,,2015-08-14,"Acidity, (H+)",2e-05,mg/l
USGS-413510081340100,,,,,2015-08-14,pH,7.7,std units
USGS-413510081340100,,,,,2015-08-14,Escherichia coli,62.0,MPN/100 ml
USGS-413510081340100,,,,,2015-08-14,Turbidity,8.8,NTRU
USGS-413510081340100,,,,,2015-08-14,Wave height,1.0,ft
USGS-412928081560220,,,,,2015-07-17,"Temperature, water",71.6,deg F
USGS-412928081560220,,,,,2015-07-17,Escherichia coli,49.0,MPN/100 ml
USGS-412928081560220,,,,,2015-07-17,Turbidity,23.0,NTRU
USGS-412928081560220,,,,,2015-07-17,Wave height,0.3,ft
USGS-412928081560220,,,,,2015-06-18,"Temperature, water",69.4,deg F
USGS-412928081560220,,,,,2015-06-18,Escherichia coli,310.0,MPN/100 ml
USGS-412928081560220,,,,,2015-06-18,Turbidity,16.0,NTRU
USGS-412928081560220,,,,,2015-06-18,Wave height,0.1,ft
USGS-412922081442303,,,,,2015-07-04,"Temperature, water",20.4,deg C
USGS-412922081442303,,,,,2015-07-04,"Acidity, (H+)",1e-05,mg/l
USGS-412922081442303,,,,,2015-07-04,pH,7.9,std units
USGS-412922081442303,,,,,2015-07-04,Escherichia coli,76.0,MPN/100 ml
USGS-412922081442303,,,,,2015-07-04,Turbidity,18.0,NTRU
USGS-412922081442303,,,,,2015-07-04,Wave height,0.8,ft
USGS-412928081560220,,,,,2015-08-10,"Temperature, water",76.1,deg F
USGS-412928081560220,,,,,2015-08-10,Escherichia coli,20.0,MPN/100 ml
USGS-412928081560220,,,,,2015-08-10,Turbidity,16.0,NTRU
USGS-412928081560220,,,,,2015-08-10,Wave height,0.3,ft
USGS-412929081561100,,,,,2015-08-15,Escherichia coli,130.0,MPN/100 ml
USGS-412929081561100,,,,,2015-08-15,Turbidity,10.0,NTRU
USGS-412922081442303,,,,,2015-06-10,pH,8.1,std units
USGS-412922081442303,,,,,2015-06-10,"Temperature, water",18.6,deg C
USGS-412922081442303,,,,,2015-06-10,"Acidity, (H+)",1e-05,mg/l
USGS-412922081442303,,,,,2015-06-10,Escherichia coli,24.0,MPN/100 ml
USGS-412922081442303,,,,,2015-06-10,Turbidity,7.5,NTRU
USGS-412922081442303,,,,,2015-06-10,Wave height,0.2,ft
USGS-413510081340100,,,,,2015-07-28,"Temperature, air",20.9,deg C
USGS-413510081340100,,,,,2015-07-28,"Acidity, (H+)",6e-05,mg/l
USGS-413510081340100,,,,,2015-07-28,pH,7.2,std units
USGS-413510081340100,,,,,2015-07-28,Escherichia coli,42.0,MPN/100 ml
USGS-413510081340100,,,,,2015-07-28,Turbidity,1.1,NTRU
USGS-413510081340100,,,,,2015-07-28,Wave height,0.0,ft
USGS-413510081340100,,,,,2015-06-28,"Temperature, air",15.2,deg C
USGS-413510081340100,,,,,2015-06-28,"Acidity, (H+)",1e-05,mg/l
USGS-413510081340100,,,,,2015-06-28,pH,7.9,std units
USGS-413510081340100,,,,,2015-06-28,Escherichia coli,4200.0,MPN/100 ml
USGS-413510081340100,,,,,2015-06-28,Turbidity,34.0,NTRU
USGS-413510081340100,,,,,2015-06-28,Wave height,5.0,ft
USGS-413510081340100,,,,,2015-07-12,"Temperature, air",21.7,deg C
USGS-413510081340100,,,,,2015-07-12,"Acidity, (H+)",1e-05,mg/l
USGS-413510081340100,,,,,2015-07-12,pH,7.8,std units
USGS-413510081340100,,,,,2015-07-12,Escherichia coli,48.0,MPN/100 ml
USGS-413510081340100,,,,,2015-07-12,Turbidity,3.4,NTRU
USGS-413510081340100,,,,,2015-07-12,Wave height,0.1,ft
USGS-412928081560220,,,,,2015-08-13,"Temperature, water",73.9,deg F
USGS-412928081560220,,,,,2015-08-13,Escherichia coli,42.0,MPN/100 ml
USGS-412928081560220,,,,,2015-08-13,Turbidity,14.0,NTRU
USGS-412928081560220,,,,,2015-08-13,Wave height,0.2,ft
USGS-413510081340100,,,,,2015-06-09,"Temperature, air",17.1,deg C
USGS-413510081340100,,,,,2015-06-09,"Acidity, (H+)",1e-05,mg/l
USGS-413510081340100,,,,,2015-06-09,pH,8.2,std units
USGS-413510081340100,,,,,2015-06-09,Escherichia coli,4000.0,MPN/100 ml
USGS-413510081340100,,,,,2015-06-09,Turbidity,24.0,NTRU
USGS-413510081340100,,,,,2015-06-09,Wave height,1.3,ft
USGS-412929081561100,,,,,2015-08-24,Escherichia coli,160.0,MPN/100 ml
USGS-412929081561100,,,,,2015-08-24,Turbidity,13.0,NTRU
USGS-412929081561100,,,,,2015-07-31,Escherichia coli,100.0,MPN/100 ml
USGS-412929081561100,,,,,2015-07-31,Turbidity,13.0,NTRU
USGS-412922081442303,,,,,2015-08-24,pH,6.8,std units
USGS-412928081560220,,,,,2015-09-05,"Temperature, water",75.5,deg F
USGS-412928081560220,,,,,2015-09-05,Escherichia coli,650.0,MPN/100 ml
USGS-412928081560220,,,,,2015-09-05,Turbidity,8.8,NTRU
USGS-412928081560220,,,,,2015-09-05,Wave height,0.1,ft
USGS-412929081561100,,,,,2015-07-10,Escherichia coli,77.0,MPN/100 ml
USGS-412929081561100,,,,,2015-07-10,Turbidity,11.0,NTRU
USGS-412929081561100,,,,,2015-08-14,Turbidity,6.6,NTRU
USGS-412929081561100,,,,,2015-08-14,Escherichia coli,63.0,MPN/100 ml
USGS-412922081442303,,,,,2015-05-04,"Temperature, water",11.8,deg C
USGS-412922081442303,,,,,2015-05-04,"Acidity, (H+)",0.0003,mg/l
USGS-412922081442303,,,,,2015-05-04,pH,6.5,std units
USGS-412922081442303,,,,,2015-05-04,Escherichia coli,3.0,MPN/100 ml
USGS-412922081442303,,,,,2015-05-04,Turbidity,2.8,NTRU
USGS-412922081442303,,,,,2015-05-04,Wave height,0.1,ft
USGS-412922081442303,,,,,2015-08-24,"Temperature, water",21.7,deg C
USGS-412922081442303,,,,,2015-08-24,"Acidity, (H+)",0.00018,mg/l
USGS-412922081442303,,,,,2015-08-24,Escherichia coli,250.0,MPN/100 ml
USGS-412922081442303,,,,,2015-08-24,Turbidity,22.0,NTRU
USGS-412922081442303,,,,,2015-08-24,Wave height,1.5,ft
USGS-413510081340100,,,,,2015-07-08,"Temperature, air",19.2,deg C
USGS-413510081340100,,,,,2015-07-08,"Acidity, (H+)",1e-05,mg/l
USGS-413510081340100,,,,,2015-07-08,pH,7.8,std units
USGS-413510081340100,,,,,2015-07-08,Escherichia coli,740.0,MPN/100 ml
USGS-413510081340100,,,,,2015-07-08,Turbidity,25.0,NTRU
USGS-413510081340100,,,,,2015-07-08,Wave height,0.9,ft
USGS-412928081560220,,,,,2015-08-18,"Temperature, water",77.5,deg F
USGS-412928081560220,,,,,2015-08-18,Escherichia coli,10.0,MPN/100 ml
USGS-412928081560220,,,,,2015-08-18,Turbidity,3.2,NTRU
USGS-412928081560220,,,,,2015-08-18,Wave height,0.1,ft
USGS-413510081340100,,,,,2015-06-02,"Temperature, air",12.3,deg C
USGS-413510081340100,,,,,2015-06-02,"Acidity, (H+)",1e-05,mg/l
USGS-413510081340100,,,,,2015-06-02,pH,8.1,std units
USGS-413510081340100,,,,,2015-06-02,Escherichia coli,430.0,MPN/100 ml
USGS-413510081340100,,,,,2015-06-02,Turbidity,31.0,NTRU
USGS-413510081340100,,,,,2015-06-02,Wave height,0.1,ft
USGS-412929081561100,,,,,2015-05-18,Escherichia coli,2.0,MPN/100 ml
USGS-412929081561100,,,,,2015-05-18,Turbidity,2.2,NTRU
USGS-412922081442303,,,,,2015-07-14,"Temperature, water",21.5,deg C
USGS-412922081442303,,,,,2015-07-14,"Acidity, (H+)",2e-05,mg/l
USGS-412922081442303,,,,,2015-07-14,pH,7.8,std units
USGS-412922081442303,,,,,2015-07-14,Escherichia coli,120.0,MPN/100 ml
USGS-412922081442303,,,,,2015-07-14,Turbidity,6.9,NTRU
USGS-413510081340100,,,,,2015-07-22,Turbidity,26.0,NTRU
USGS-412922081442303,,,,,2015-07-14,Wave height,0.4,ft
USGS-412922081442303,,,,,2015-06-26,"Temperature, water",22.0,deg C
USGS-412922081442303,,,,,2015-06-26,"Acidity, (H+)",1e-05,mg/l
USGS-412922081442303,,,,,2015-06-26,pH,8.0,std units
USGS-412922081442303,,,,,2015-06-26,Escherichia coli,45.0,MPN/100 ml
USGS-412922081442303,,,,,2015-06-26,Turbidity,5.7,NTRU
USGS-412922081442303,,,,,2015-06-26,Wave height,0.1,ft
USGS-413510081340100,,,,,2015-07-22,Wave height,1.7,ft
USGS-413510081340100,,,,,2015-07-22,Escherichia coli,470.0,MPN/100 ml
